Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Differences	ST	ST Complex	Lineage	Subspecies	adk	fumC	gyrB	icd	mdh	purA	recA
ESC_AA1789AA	IMT18570	traces-0crqxCd;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin			O25b:H4		Pathogen		Cystitis/Pyelonephritis		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1789AA	NaN	131	ST131 Cplx	B2		53	40	47	13	36	28	29
ESC_AA1911AA	IMT8897	traces-0tuwRAM;7GeneMLST;ND;;NA;Legacy		Black-headed weaver	Avian	2003				Europe	Netherlands			The Hague				L.Wieler, C.Ewers			O2:K1		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1911AA	NaN	141		B2		13	52	10	14	17	25	17
ESC_AA1917AA	VB 991690	traces-0JCCFtS;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O2:K1	O2:K1:H6		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1917AA	NaN	141		B2		13	52	10	14	17	25	17
ESC_AA1919AA	VB 992752	traces-0JFlORY;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O2:K1	O2:K1:NM		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1919AA	NaN	141		B2		13	52	10	14	17	25	17
ESC_AA2077AA	VB 996556	traces-0TEgesH;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		On.t.	On.t.:H11		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2077AA	NaN	167	ST10 Cplx	A		10	11	4	8	8	13	2
ESC_AA2233AA	VM 751522	traces-0UVyZNL;7GeneMLST;ND;;NA;Legacy		Companion animal	Cat	2009				Europe	Netherlands							IMT FU-Berlin		On.t.	On.t.:H6		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2233AA	NaN	223	ST155 Cplx	B1		6	4	4	18	24	8	14
ESC_AA2616AA	IMT8894	traces-0yNmbrn;7GeneMLST;ND;;NA;Legacy			Flamingo	2003				Europe	Netherlands			The Hague				L.Wieler, C.Ewers			O2:K1:H7		Pathogen		Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA2616AA	NaN	368	ST95 Cplx			37	38	19	37	17	13	26
ESC_AA2631AA	VB 993509	traces-0UjNNdf;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin			O83:H31		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2631AA	NaN	372				88	103	19	36	23	44	26
ESC_AA2653AA	VB 996308	traces-0PnHopu;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O6	O6:H1		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA2653AA	NaN	372				88	103	19	36	23	44	26
ESC_AA3171AA	VB 993480	traces-0WlPpDn;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O22	O22:NM		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA3171AA	NaN	646		B2		13	96	121	13	17	11	10
ESC_AA3175AA	VB 996306	traces-0hJesKp;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin			O18:H31		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA3175AA	NaN	646		B2		13	96	121	13	17	11	10
ESC_AA3251AA	VB 995811	traces-0QLsSUA;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		On.t.	On.t.:H10		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA3251AA	NaN	681		B2		38	39	30	13	17	25	28
ESC_AA3253AA	VB 992375	traces-0ubBLdf;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O8	O8:Hn.t.		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA3253AA	NaN	681		B2		38	39	30	13	17	25	28
ESC_AA3547AA	VB 991374	traces-0ORiOtj;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin		O4	O4:NM		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA3547AA	NaN	961	ST12 Cplx			13	13	9	13	16	126	9
ESC_AA3561AA	VB 991916	traces-0Sivuhl;7GeneMLST;ND;;NA;Legacy		Companion animal	Cat	2009				Europe	Netherlands							IMT FU-Berlin			H1		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA3561AA	NaN	968	ST73 Cplx			36	24	9	13	17	128	25
ESC_AA3905AA	IMT18571	traces-0qmtwXc;7GeneMLST;ND;;NA;Legacy		Domesticated animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin			n.t.		Pathogen		None		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA3905AA	NaN	1276				17	231	167	198	7	157	2
ESC_AA3993AA	ISUNMEC12	traces-0hViVVw;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands							Spanjaard			O6	B2	Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA3993AA	NaN	1349	ST73 Cplx			180	24	9	13	17	11	25
ESC_AA4004AA	ISUNMEC32	traces-0LbhLVz;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands							Spanjaard			n.t.	D	Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA4004AA	NaN	1357				101	33	25	29	7	11	24
ESC_AA4005AA	ISUNMEC5	traces-0AuvhaZ;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands							Spanjaard			O9	A	Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA4005AA	NaN	1357				101	33	25	29	7	11	24
ESC_AA4014AA	ISUNMEC55	traces-0AChXoU;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands							Spanjaard			O9	A	Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA4014AA	NaN	1365				179	197	12	1	20	12	7
ESC_AA4051AA	NMEC 65	traces-0MOElXw;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands			Amsterdam				Dr Lodewijk Spanjaard			O83	B2	Pathogen	NMEC	None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA4051AA	NaN	1392				37	43	9	37	17	37	25
ESC_AA4080AA	IMT18336	traces-0NejPqD;7GeneMLST;ND;;NA;Legacy		Domesticated animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin			n.t.		Pathogen		None		NA	NA	Enteritis	NA	NA	2015-08-26	2015-08-26	ESC_AA4080AA	NaN	1421	ST46 Cplx	A		8	7	1	8	8	8	2
ESC_AA4311AA	VB 957471	traces-0Elcliz;7GeneMLST;ND;;NA;Legacy		Companion animal	Cat	2010				Europe	Netherlands							IMT FU-Berlin			O114:H27		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA4311AA	NaN	1640	ST350 Cplx			6	31	4	28	1	1	2
ESC_AA4416AA	IMT19797	traces-0lTezCN;7GeneMLST;ND;;NA;Legacy		Domesticated animal	Dog	2009				Europe	Netherlands							IMT FU-Berlin			n.t.		Pathogen		None		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA4416AA	NaN	1735	ST73 Cplx			36	273	9	13	17	11	25
ESC_AA4660AA	IMT22668	traces-0gZYuTd;7GeneMLST;ND;;NA;Legacy		Companion animal	Cat	2010				Europe	Netherlands							IMT FU-Berlin			n.t.		Pathogen		None		NA	NA	Enteritis	NA	NA	2015-08-26	2015-08-26	ESC_AA4660AA	NaN	1994		B2		83	14	10	14	17	94	28
ESC_AA4671AA	IMT22537	traces-0MpdflJ;7GeneMLST;ND;;NA;Legacy		Companion animal	Dog	2010				Europe	Netherlands							IMT FU-Berlin			n.t.		Pathogen		None		NA	NA	Enteritis	NA	NA	2015-08-26	2015-08-26	ESC_AA4671AA	NaN	2005				6	29	14	16	9	8	14
ESC_AA4699AA	IMT22255	traces-0KlwFeZ;7GeneMLST;ND;;NA;Legacy		Domesticated animal	Horse	2010				Europe	Netherlands							IMT FU-Berlin			n.t.		Pathogen	ESBL	None		NA	NA	UGTI	NA	NA	2015-08-26	2015-08-26	ESC_AA4699AA	NaN	2033				6	6	15	10	9	7	14
ESC_AA4701AA	IMT22229	traces-0AtYlDo;7GeneMLST;ND;;NA;Legacy		Domesticated animal	Horse	2010				Europe	Netherlands							IMT FU-Berlin			n.t.		Pathogen	ESBL	None		NA	NA	Wound infection	NA	NA	2015-08-26	2015-08-26	ESC_AA4701AA	NaN	2035		AxB1		6	8	4	225	9	23	7
ESC_AA4705AA	77	traces-0zTGuCE;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands			Utrecht				UMCU					Non pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4705AA	NaN	2040		AxB1		6	29	22	18	11	8	41
ESC_AA4706AA	25	traces-0SrVpMz;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands			Utrecht				UMCU					Non pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4706AA	NaN	2041		A		8	7	1	278	8	18	6
ESC_AA4730AA	1191000010	traces-0qpUXCO;7GeneMLST;ND;;NA;Legacy		Human	Human	2010				Europe	Netherlands			Breda									Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4730AA	NaN	2063				6	4	4	18	9	26	7
ESC_AA4731AA	1191000020	traces-0WdlpHD;7GeneMLST;ND;;NA;Legacy		Human	Human	2010				Europe	Netherlands			Breda									Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4731AA	NaN	2064				207	297	260	254	1	2	2
ESC_AA4732AA	1191000030	traces-0NDLrqL;7GeneMLST;ND;;NA;Legacy		Human	Human	2010				Europe	Netherlands			Tilburg									Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4732AA	NaN	2065		A		10	225	4	205	8	8	2
ESC_AA4733AA	1191000033	traces-0OKKwtO;7GeneMLST;ND;;NA;Legacy		Human	Human	2010				Europe	Netherlands			Tilburg				Twee Steden					Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4733AA	NaN	2066				6	4	12	1	222	12	7
ESC_AA4734AA	1191000037	traces-0jWLNkK;7GeneMLST;ND;;NA;Legacy		Human	Human	2010				Europe	Netherlands			Breda									Non pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4734AA	NaN	2067	ST20 Cplx			6	95	3	18	11	122	2
ESC_AA4735AA	1191000044	traces-0pPJJzW;7GeneMLST;ND;;NA;Legacy		Human	Human	2010				Europe	Netherlands			Breda									Non pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4735AA	NaN	2068		B2		13	39	50	13	16	212	25
ESC_AA4736AA	1191000047	traces-0SenDeO;7GeneMLST;ND;;NA;Legacy		Human	Human	2010				Europe	Netherlands			Breda									Non pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4736AA	NaN	2068		B2		13	39	50	13	16	212	25
ESC_AA4737AA	1191000067	traces-0NLjKyF;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Non pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4737AA	NaN	2069		ABD		31	4	42	44	15	213	17
ESC_AA4738AA	1191000072	traces-0MAzRHU;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4738AA	NaN	2070				251	37	167	198	7	214	62
ESC_AA4739AA	1191000074	traces-0pxAPJE;7GeneMLST;ND;;NA;Legacy		Food	Human	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4739AA	NaN	2071				251	37	4	198	7	214	62
ESC_AA4740AA	1191000151	traces-0GAawaz;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4740AA	NaN	2072				6	29	5	18	11	193	7
ESC_AA4741AA	1191000075	traces-0XGLbaW;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4741AA	NaN	2072				6	29	5	18	11	193	7
ESC_AA4742AA	1191000081	traces-0OlkwCQ;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4742AA	NaN	2073				6	4	3	18	11	7	156
ESC_AA4743AA	1191000087	traces-0gAtVsz;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4743AA	NaN	2074		ABD		12	321	176	30	80	2	2
ESC_AA4745AA	1191000125	traces-0osmatf;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4745AA	NaN	2077		B1		6	4	4	9	20	1	6
ESC_AA4746AA	1191000154	traces-0OIzfRU;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4746AA	NaN	2077		B1		6	4	4	9	20	1	6
ESC_AA4747AA	1191000126	traces-0TtJnPb;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4747AA	NaN	2078				64	196	224	279	8	1	6
ESC_AA4748AA	1191000131	traces-0TQzKiW;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4748AA	NaN	2079		B1		6	4	4	18	11	7	7
ESC_AA4749AA	1191000150	traces-0DdJGsV;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken	2010				Europe	Netherlands												Pathogen	ESBL	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4749AA	NaN	2081				6	95	33	16	9	8	6
ESC_AA4884AA	1191100055	traces-0BnFPYU;7GeneMLST;ND;;NA;Legacy		Companion animal	Cat	2011				Europe	Netherlands							WUR Lelystad							None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4884AA	NaN	2225	ST350 Cplx			6	31	5	289	1	1	2
ESC_AA4885AA	1191100061	traces-0DzgZzb;7GeneMLST;ND;;NA;Legacy		Domesticated animal	Horse	2011				Europe	Netherlands							WUR Lelystad							None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4885AA	NaN	2226	ST10 Cplx	A		10	336	4	8	8	8	2
ESC_AA4886AA	1191100077	traces-0xnroZW;7GeneMLST;ND;;NA;Legacy		Domesticated animal	Dog	2011				Europe	Netherlands							WUR Lelystad							None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA4886AA	NaN	2227		B2		38	39	30	13	17	25	197
ESC_AA5097AA	1191100108	traces-0dmYHDl;7GeneMLST;ND;;NA;Legacy		Human	Human	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5097AA	NaN	2448		B1		6	23	14	18	9	8	14
ESC_AA5098AA	1191100109	traces-0MzOVvL;7GeneMLST;ND;;NA;Legacy		Human	Human	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5098AA	NaN	2449		D		62	372	17	31	5	5	4
ESC_AA5099AA	1191100110	traces-0uLVfJy;7GeneMLST;ND;;NA;Legacy		Human	Human	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5099AA	NaN	2450	ST46 Cplx	A		8	7	1	8	8	13	6
ESC_AA5100AA	1191100117	traces-0DhAdVw;7GeneMLST;ND;;NA;Legacy		Domesticated animal	Horse	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5100AA	NaN	2451	ST131 Cplx			53	40	47	13	36	28	2
ESC_AA5101AA	1191100136	traces-0BhGdlv;7GeneMLST;ND;;NA;Legacy		Human	Human	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5101AA	NaN	2453	ST155 Cplx			6	4	4	16	24	12	104
ESC_AA5102AA	1191100137	traces-0LIsSsA;7GeneMLST;ND;;NA;Legacy		Human	Human	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5102AA	NaN	2454				10	11	4	1	8	12	2
ESC_AA5103AA	1191100147	traces-0eKydOh;7GeneMLST;ND;;NA;Legacy		Human	Human	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5103AA	NaN	2455				10	373	7	8	8	7	2
ESC_AA5104AA	1191100163	traces-0CEdUtn;7GeneMLST;ND;;NA;Legacy		Human	Human	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5104AA	NaN	2456		A		6	374	4	10	8	8	2
ESC_AA5105AA	1191100168	traces-0OQIDaK;7GeneMLST;ND;;NA;Legacy		Human	Human	2011				Europe	Netherlands							VUmc Amsterdam					Pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5105AA	NaN	2457				10	11	4	8	8	8	213
ESC_AA5149AA	MSI-11-163	traces-0vRIhQE;7GeneMLST;ND;;NA;Legacy		Poultry	Chicken					Europe	Netherlands							National Veterinary Institute (SVA), Sweden							None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5149AA	NaN	2502		AxB1		6	19	14	16	11	12	217
ESC_AA5655AA	Vitens-350	traces-0GwzgqJ;7GeneMLST;ND;;NA;Legacy								Europe	Netherlands							Regional Laboratory of Public Health Haarlem							None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5655AA	NaN	3022				6	4	3	1	9	62	44
ESC_AA5660AA	KML 6562	traces-0CrsyNQ;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands			Leiden											None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5660AA	NaN	3028				10	11	4	8	8	13	19
ESC_AA5661AA	KML 5938	traces-0HeaDSw;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands														None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5661AA	NaN	3029				10	11	15	8	8	5	2
ESC_AA5662AA	KML 6417	traces-0PFBiHG;7GeneMLST;ND;;NA;Legacy		Human	Human					Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5662AA	NaN	3030				6	6	32	16	11	8	7
ESC_AA5663AA	KML 6418	traces-0pMkNzm;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5663AA	NaN	3031				6	6	4	10	7	8	6
ESC_AA5664AA	KML 6421	traces-0IiMFrN;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands								Escherichia coli				Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5664AA	NaN	3032				54	22	211	342	40	16	4
ESC_AA5665AA	KML 6426	traces-0UMFoQJ;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5665AA	NaN	3033		B2		13	96	19	36	17	11	25
ESC_AA5666AA	KML 6565	traces-0dTyyHc;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5666AA	NaN	3035	ST10 Cplx			10	11	4	350	8	8	7
ESC_AA5667AA	KML 5890	traces-0lAlDvU;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5667AA	NaN	3036				207	297	260	254	1	261	2
ESC_AA5668AA	KML 5688	traces-0NNWjnv;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5668AA	NaN	3037	ST10 Cplx	A		10	11	4	351	8	8	2
ESC_AA5669AA	KML 5684	traces-0lyeypE;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5669AA	NaN	3040	ST38 Cplx			4	26	2	18	5	5	6
ESC_AA5670AA	KML 5729	traces-0HyFhgS;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5670AA	NaN	3041	ST278 Cplx			9	23	64	25	11	8	6
ESC_AA5671AA	KML 5931	traces-0hnuPsG;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5671AA	NaN	3042		D		308	54	55	352	35	263	234
ESC_AA5673AA	KML 5822	traces-0wgcsKL;7GeneMLST;ND;;NA;Legacy		Human	Human	2012				Europe	Netherlands												Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA5673AA	NaN	3043	ST349 Cplx			34	36	39	87	67	13	4
