Uberstrain,Name,Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status),Source Niche,Source Type,Source Details,Collection Year,Collection Month,Collection Day,Collection Time,Continent,Country,Region,District,City,Post Code,Latitude,Longitude,Lab Contact,Species,Serological Group,Serotype,EcoR Cluster,Path/Nonpath,Simple Patho,Comment,Simple Disease,Disease,Bio Project ID,Project ID,Sample ID,Secondary Sample ID,Date Entered,Release Date,Barcode,Differences,ST,ST Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_BA1595AA,1265,ERR025742;ILLUMINA;Paired;200;ERX009790;NEW,Human,Human,Homo sapiens; feces,1965,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage I; Baker et al., 2017 CMI 23:845-959",,,PRJEB2128,ERP000182,SAMEA954703,ERS009848,8/27/15,3/18/11,ESC_BA1595AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1600AA,1167,ERR025744;ILLUMINA;Paired;200;ERX009790;NEW,Human,Human,Homo sapiens; feces,1967,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage I; Baker et al., 2017 CMI 23:845-961",,,PRJEB2128,ERP000182,SAMEA954673,ERS009850,8/27/15,3/18/11,ESC_BA1600AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1626AA,98-8743,ERR025758;ILLUMINA;Paired;200;ERX009788;NEW,Human,Human,Homo sapiens; feces,1998,,1,,Europe,France,French Guiana,French Guiana,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage III; Baker et al., 2017 CMI 23:845-972",,,PRJEB2128,ERP000182,SAMEA954805,ERS009864,8/27/15,3/18/11,ESC_BA1626AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1730AA,99-8911,ERR025763;ILLUMINA;Paired;200;ERX009788;NEW,Human,Human,Homo sapiens; feces,1999,,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,Holt Lineage II,,,PRJEB2128,ERP000182,SAMEA954811,ERS009867,8/27/15,3/18/11,ESC_BA1730AA,,-11,,,,11,-4,7,1,14,7,7
ESC_BA1739AA,54213,ERR025722;ILLUMINA;Paired;200;ERX009787;NEW,Human,Human,,1945,,,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,Holt Lineage I,,,PRJEB2128,ERP000182,SAMEA954582,ERS009839,8/27/15,3/18/11,ESC_BA1739AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1742AA,pWR105,ERR025725;ILLUMINA;Paired;200;ERX009787;NEW,Human,Human,Homo sapiens; feces,1979,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage III; Baker et al., 2017 CMI 23:845-948",,,PRJEB2128,ERP000182,SAMEA954605,ERS009831,8/27/15,3/18/11,ESC_BA1742AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1778AA,Nov-73,ERR025746;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,Homo sapiens; feces,1973,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage II; Baker et al., 2017 CMI 23:845-962",,,PRJEB2128,ERP000182,SAMEA954674,ERS009853,8/27/15,3/18/11,ESC_BA1778AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1780AA,88-83,ERR025747;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,Homo sapiens; feces,1983,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,S. sonnei,"Lineage III; Baker et al., 2017 CMI 23:845-963",,,PRJEB2128,ERP000182,SAMEA954801,ERS009862,8/27/15,3/18/11,ESC_BA1780AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1782AA,97-0044,ERR025748;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,,1997,,,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,Holt Lineage III,,,PRJEB2128,ERP000182,SAMEA954803,ERS009863,8/27/15,3/18/11,ESC_BA1782AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1784AA,20-73,ERR025749;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,Homo sapiens; feces,1973,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage III; Baker et al., 2017 CMI 23:845-964",,,PRJEB2128,ERP000182,SAMEA954677,ERS009854,8/27/15,3/18/11,ESC_BA1784AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1790AA,1274,ERR025752;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,Homo sapiens; feces,1974,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage I; Baker et al., 2017 CMI 23:845-967",,,PRJEB2128,ERP000182,SAMEA954678,ERS009857,8/27/15,3/18/11,ESC_BA1790AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1791AA,25-74,ERR025753;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,Homo sapiens; feces,1974,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"LA_IIb; Baker et al., 2017 CMI 23:845-968",,,PRJEB2128,ERP000182,SAMEA954671,ERS009858,8/27/15,3/18/11,ESC_BA1791AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA1794AA,43-74,ERR025754;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,Homo sapiens; feces,1974,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,S. sonnei,"Lineage I; Baker et al., 2017 CMI 23:845-969",,,PRJEB2128,ERP000182,SAMEA954670,ERS009859,8/27/15,3/18/11,ESC_BA1794AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1796AA,44-74,ERR025755;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,Homo sapiens; feces,1974,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage I; Baker et al., 2017 CMI 23:845-970",,,PRJEB2128,ERP000182,SAMEA954797,ERS009860,8/27/15,3/18/11,ESC_BA1796AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1798AA,Apr-76,ERR025756;ILLUMINA;Paired;200;ERX009785;NEW,Human,Human,Homo sapiens; feces,1976,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage I; Baker et al., 2017 CMI 23:845-971",,,PRJEB2128,ERP000182,SAMEA954799,ERS009861,8/27/15,3/18/11,ESC_BA1798AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1804AA,200704369,ERR024606;ILLUMINA;Paired;200;ERX009680;NEW,Human,Human,Homo sapiens; feces,2007,1,1,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,"Lineage I; Baker et al., 2017 CMI 23:845-896",,,PRJEB2128,ERP000182,SAMEA954728,ERS009885,8/27/15,3/18/11,ESC_BA1804AA,,1502,ST152 Cplx,B1,,6,63,7,1,14,7,7
ESC_BA1819AA,200606396,ERR024614;ILLUMINA;Paired;200;ERX009680;NEW,Human,Human,,2006,,,,Europe,France,,,,,,,Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,Holt Lineage III,,,PRJEB2128,ERP000182,SAMEA954772,ERS009883,8/27/15,3/18/11,ESC_BA1819AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA2003AA,NCTC0001,"ERR569656;PACBIO_SMRT;Single;;ERX528645;NEW,ERR569657;PACBIO_SMRT;Single;;ERX528646;NEW,ERR569658;PACBIO_SMRT;Single;;ERX528647;NEW,ERR2102750;ILLUMINA;Single;;ERX2160061;SRA,ERR1582015;ILLUMINA;Single;;ERX1652661;SRA,ERR2019471;ILLUMINA;Single;;ERX2078721;SRA,ERR1579964;ILLUMINA;Paired (Single in NCBI);;ERX1650672;SRA,ERR559526;ILLUMINA;Paired;350;ERX518562;SRA,GCF_000953035;Complete Genome;;;;Complete Genome,ERR569654;PACBIO_SMRT;Single;;ERX528643;NEW,ERR569655;PACBIO_SMRT;Single;;ERX528644;NEW",Human,Human,Human,1915,,,,Europe,France,,,,,,,majing,Shigella flexneri,,2a,,,S. flexneri,Lineage 3,,,PRJEB6012,ERP005470,SAMEA2434358,ERS428535,8/27/15,7/26/14,ESC_BA2003AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2144AA,13-6754,ERR460126;ILLUMINA;Paired;250;ERX426467;NEW,Human,Human,human; Homo sapiens,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258608,ERS372317,8/27/15,5/14/14,ESC_BA2144AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2146AA,13-6290,ERR460125;ILLUMINA;Paired;250;ERX426466;NEW,Human,Human,human; Homo sapiens,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258607,ERS372316,8/27/15,5/14/14,ESC_BA2146AA,,1025,ST245 Cplx,,,6,61,6,174,13,3,50
ESC_BA2148AA,13-3909,ERR460124;ILLUMINA;Paired;250;ERX426465;NEW,Human,Human,human; Homo sapiens,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258605,ERS372314,8/27/15,5/14/14,ESC_BA2148AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2150AA,ERS372313,ERR460123;ILLUMINA;Paired;250;ERX426464;NEW,Human,Human,human; Homo sapiens,2013,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258604,ERS372313,8/27/15,5/14/14,ESC_BA2150AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2154AA,ERS372309,ERR460121;ILLUMINA;Paired;250;ERX426462;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258600,ERS372309,8/27/15,5/14/14,ESC_BA2154AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2156AA,12-10736,ERR460120;ILLUMINA;Paired;250;ERX426461;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258599,ERS372308,8/27/15,5/14/14,ESC_BA2156AA,,1025,ST245 Cplx,,,6,61,6,174,13,3,50
ESC_BA2158AA,Dec-16,ERR460119;ILLUMINA;Paired;250;ERX426460;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258598,ERS372307,8/27/15,5/14/14,ESC_BA2158AA,,1025,ST245 Cplx,,,6,61,6,174,13,3,50
ESC_BA2160AA,Dec-62,ERR460118;ILLUMINA;Paired;250;ERX426459;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258596,ERS372305,8/27/15,5/14/14,ESC_BA2160AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2162AA,Dec-60,ERR460117;ILLUMINA;Paired;250;ERX426458;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258594,ERS372303,8/27/15,5/14/14,ESC_BA2162AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2164AA,12-321,ERR460116;ILLUMINA;Paired;250;ERX426457;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258593,ERS372302,8/27/15,5/14/14,ESC_BA2164AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2166AA,12-1897,ERR460115;ILLUMINA;Paired;250;ERX426456;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3b,,,,,,,PRJEB2846,ERP001161,SAMEA2258592,ERS372301,8/27/15,5/14/14,ESC_BA2166AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2168AA,12-1488,ERR460114;ILLUMINA;Paired;250;ERX426455;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258591,ERS372300,8/27/15,5/14/14,ESC_BA2168AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2170AA,ERS372298,ERR460113;ILLUMINA;Paired;250;ERX426454;NEW,Human,Human,human; Homo sapiens,2012,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258589,ERS372298,8/27/15,5/14/14,ESC_BA2170AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2172AA,12-070,ERR460112;ILLUMINA;Paired;250;ERX426453;NEW,Human,Human,human; Homo sapiens,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258588,ERS372297,8/27/15,5/14/14,ESC_BA2172AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2174AA,Nov-55,ERR460111;ILLUMINA;Paired;250;ERX426452;NEW,Human,Human,human; Homo sapiens,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258587,ERS372296,8/27/15,5/14/14,ESC_BA2174AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2176AA,Nov-11,ERR460110;ILLUMINA;Paired;250;ERX426451;NEW,Human,Human,human; Homo sapiens,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,S. flexneri,,,,PRJEB2846,ERP001161,SAMEA2258586,ERS372295,8/27/15,5/14/14,ESC_BA2176AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2177AA,Nov-40,ERR460109;ILLUMINA;Paired;250;ERX426450;NEW,Human,Human,human; Homo sapiens,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,S. flexneri,,,,PRJEB2846,ERP001161,SAMEA2258585,ERS372294,8/27/15,5/14/14,ESC_BA2177AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2179AA,11-820,ERR460108;ILLUMINA;Paired;250;ERX426449;NEW,Human,Human,human; Homo sapiens,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258584,ERS372293,8/27/15,5/14/14,ESC_BA2179AA,,1025,ST245 Cplx,,,6,61,6,174,13,3,50
ESC_BA2181AA,11-719,ERR460107;ILLUMINA;Paired;250;ERX426448;NEW,Human,Human,human; Homo sapiens,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258583,ERS372292,8/27/15,5/14/14,ESC_BA2181AA,,1025,ST245 Cplx,,,6,61,6,174,13,3,50
ESC_BA2184AA,11-632,ERR460106;ILLUMINA;Paired;250;ERX426447;NEW,Human,Human,human; Homo sapiens,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258582,ERS372291,8/27/15,5/14/14,ESC_BA2184AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2186AA,11-278,ERR460105;ILLUMINA;Paired;250;ERX426446;NEW,Human,Human,human; Homo sapiens,2011,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,S. flexneri,,,,PRJEB2846,ERP001161,SAMEA2258581,ERS372290,8/27/15,5/14/14,ESC_BA2186AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2190AA,Oct-90,ERR460103;ILLUMINA;Paired;250;ERX426444;NEW,Human,Human,human; Homo sapiens,2010,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258579,ERS372288,8/27/15,5/14/14,ESC_BA2190AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2193AA,Oct-29,ERR460102;ILLUMINA;Paired;250;ERX426443;NEW,Human,Human,human; Homo sapiens,2010,,,,Europe,France,French Guiana,French Guiana,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3b,,,,,,,PRJEB2846,ERP001161,SAMEA2258578,ERS372287,8/27/15,5/14/14,ESC_BA2193AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2195AA,Oct-93,ERR460101;ILLUMINA;Paired;250;ERX426442;NEW,Human,Human,human; Homo sapiens,2010,,,,Europe,France,French Guiana,French Guiana,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258577,ERS372286,8/27/15,5/14/14,ESC_BA2195AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2197AA,10-1755,ERR460100;ILLUMINA;Paired;250;ERX426441;NEW,Human,Human,human; Homo sapiens,2010,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3b,,,,,,,PRJEB2846,ERP001161,SAMEA2258576,ERS372285,8/27/15,5/14/14,ESC_BA2197AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2199AA,10-1391,ERR460099;ILLUMINA;Paired;250;ERX426440;NEW,Human,Human,human; Homo sapiens,2010,,,,Europe,France,French Guiana,French Guiana,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3b,,,,,,,PRJEB2846,ERP001161,SAMEA2258574,ERS372283,8/27/15,5/14/14,ESC_BA2199AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2202AA,10-1295,ERR460098;ILLUMINA;Paired;250;ERX426439;NEW,Human,Human,human; Homo sapiens,2010,,,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,S. flexneri,,,,PRJEB2846,ERP001161,SAMEA2258573,ERS372282,8/27/15,5/14/14,ESC_BA2202AA,,5312,ST245 Cplx,,,6,61,443,11,13,3,50
ESC_BA2204AA,Sep-39,ERR460097;ILLUMINA;Paired;250;ERX426438;NEW,Human,Human,human; Homo sapiens,2009,,,,Europe,France,French Guiana,French Guiana,,,,,The Wellcome Trust Sanger Institute,Shigella flexneri,,Sf3a,,,,,,,PRJEB2846,ERP001161,SAMEA2258572,ERS372281,8/27/15,5/14/14,ESC_BA2204AA,,245,ST245 Cplx,ABD,,6,61,6,11,13,3,50
ESC_BA2249AA,M159,ERR279284;ILLUMINA;Paired;199;ERX252617;NEW,Human,Human,Human,,,,,Europe,France ,Ile-de-France,Paris,Paris,,48.8737505,2.29513295,"F.X. Weill, Institut Pasteur",Shigella dysenteriae,,Sd1,,,,Lineage II; 1914_1917,,,PRJEB3255,ERP001784,SAMEA1903634,ERS203194,8/27/15,6/6/13,ESC_BA2249AA,,260,,ABD,,2,79,59,2,2,2,2
ESC_BA3623AA,200300995,ERR042778;ILLUMINA;Paired;216;ERX019910;NEW,Human,Human,Homo sapiens; feces,2003,2,13,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,,,,PRJEB2460,ERP000568,SAMEA1027684,ERS025879,8/27/15,11/3/11,ESC_BA3623AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA3625AA,200209633,ERR042777;ILLUMINA;Paired;216;ERX019909;NEW,Human,Human,Homo sapiens; feces,2002,12,8,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,,,,PRJEB2460,ERP000568,SAMEA1027673,ERS025878,8/27/15,11/3/11,ESC_BA3625AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA3627AA,200208933,ERR042776;ILLUMINA;Paired;216;ERX019908;NEW,Human,Human,Homo sapiens; feces,2002,11,1,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,,,,PRJEB2460,ERP000568,SAMEA1027679,ERS025877,8/27/15,11/3/11,ESC_BA3627AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA3629AA,200207265,ERR042775;ILLUMINA;Paired;216;ERX019907;NEW,Human,Human,Homo sapiens; feces,2002,9,20,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,,,,PRJEB2460,ERP000568,SAMEA1027665,ERS025876,8/27/15,11/3/11,ESC_BA3629AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
ESC_BA3769AA,200301382,ERR042794;ILLUMINA;Paired;216;ERX019926;NEW,Human,Human,Homo sapiens; feces,2003,3,8,,Europe,France,,,,,,,The Wellcome Trust Sanger Institute,Shigella sonnei,,,,,,,,,PRJEB2460,ERP000568,SAMEA1027729,ERS025895,8/27/15,11/3/11,ESC_BA3769AA,,152,ST152 Cplx,B1,,11,63,7,1,14,7,7
