"Uberstrain","Name","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent","Country","Region","District","City","Post.Code","Latitude","Longitude","Lab.Contact","Species","Serological.Group","Serotype","EcoR.Cluster","Path.Nonpath","Simple.Patho","Simple.Disease","Comment","Bio.Project.ID","Project.ID","Disease","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Barcode","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA"
"ESC_AA3380AA","2152","traces-0eIydAm;7GeneMLST;ND;;NA;Legacy","","Animal","Swine",1988,NA,NA,NA,"Europe","Hungary","","","Budapest",NA,NA,NA,"B. Nagy, Veterinary Medical Research Institute, Budapest","","","O157:F18ac",NA,"Pathogen","ETEC","Diarrhoea","",NA,NA,"Diarrhoea",NA,NA,"2015-08-26","2015-08-26","ESC_AA3380AA",NA,763,"","AxB1",NA,137,4,5,1,11,13,7
"ESC_AA4678AA","IMT21584","traces-0YaDtYx;7GeneMLST;ND;;NA;Legacy","","Domesticated animal","Horse",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"IMT FU-Berlin","","","n.t.",NA,"Pathogen","","Wound infection","",NA,NA,"Soft tissue infection",NA,NA,"2015-08-26","2015-08-26","ESC_AA4678AA",NA,2012,"","B1",NA,6,69,4,18,9,8,7
"ESC_AA4680AA","IMT20469","traces-0OxsJSo;7GeneMLST;ND;;NA;Legacy","","Domesticated animal","Horse",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"IMT FU-Berlin","","","n.t.",NA,"Pathogen","","None","",NA,NA,"Soft tissue infection",NA,NA,"2015-08-26","2015-08-26","ESC_AA4680AA",NA,2014,"","",NA,246,95,4,1,11,8,6
"ESC_AA7023AA","1061/13","traces-0sCDVqV;7GeneMLST;ND;;NA;Legacy","","","",NA,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"KACTS Hungary","","","",NA,"","","None","",NA,NA,"None",NA,NA,"2015-08-26","2015-08-26","ESC_AA7023AA",NA,4505,"ST278 Cplx","",NA,9,23,71,18,11,8,6
"ESC_AA7024AA","1067/13","traces-0zqtYpu;7GeneMLST;ND;;NA;Legacy","","","",NA,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"KACTS Hungary","","","",NA,"","","None","",NA,NA,"None",NA,NA,"2015-08-26","2015-08-26","ESC_AA7024AA",NA,4506,"","",NA,63,65,4,10,24,8,41
"ESC_AA7025AA","E004","traces-0XdXyYo;7GeneMLST;ND;;NA;Legacy","","","",NA,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"KACTS Hungary","","","",NA,"","","None","",NA,NA,"None",NA,NA,"2015-08-26","2015-08-26","ESC_AA7025AA",NA,4507,"","",NA,6,30,5,1,24,1,21
"ESC_CA3833AA","AA037","ERR1010226;ILLUMINA;Paired;196;ERX1089250;NEW","","","",1969,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"STATENS SERUM INSTITUT","Escherichia coli","","O20:K67:H17",NA,"","","","","PRJEB10700","ERP011986","","SAMEA3529389","ERS836538","2015-11-04","2015-11-03","ESC_CA3833AA",NA,5770,"","",NA,6,4,1,1,456,8,20
"ESC_CA6528AA","PCM 159","ERR1013772;ILLUMINA;Paired;138;ERX1092796;SRA","Human","Human","Human",1944,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"F.X.Weill, Institut Pasteur","Shigella dysenteriae","","Sd1",NA,"","","","Lineage II","PRJEB10304","ERP011535","","SAMEA3535197","ERS842346","2016-02-12","2016-02-12","ESC_CA6528AA",NA,260,"","ABD",NA,2,79,59,2,2,2,2
"ESC_CA6532AA","HNCMB 20080 ","ERR1013768;ILLUMINA;Paired;138;ERX1092792;SRA","Human","Human","Human",1954,NA,NA,NA,"Europe","Hungary","Budapest","","",NA,NA,NA,"F.X.Weill, Institut Pasteur","Shigella dysenteriae","","Sd1",NA,"","","","Lineage III","PRJEB10304","ERP011535","","SAMEA3535193","ERS842342","2016-02-12","2016-02-12","ESC_CA6532AA",NA,146,"","ABD",NA,2,1,59,2,2,2,2
"ESC_CA6533AA","HNCMB 20003","ERR1013767;ILLUMINA;Paired;138;ERX1092791;SRA","Human","Human","Human",1953,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"F.X.Weill, Institut Pasteur","Shigella dysenteriae","","Sd1",NA,"","","","Lineage II","PRJEB10304","ERP011535","","SAMEA3535192","ERS842341","2016-02-12","2016-02-12","ESC_CA6533AA",NA,260,"","ABD",NA,2,79,59,2,2,2,2
"ESC_CA6534AA","HNCMB 20002","ERR1013766;ILLUMINA;Paired;138;ERX1092790;SRA","Human","Human","Human",NA,NA,NA,NA,"Europe","Hungary","Budapest","","",NA,NA,NA,"F.X.Weill, Institut Pasteur","Shigella dysenteriae","","Sd1",NA,"","","","Lineage II; <1953","PRJEB10304","ERP011535","","SAMEA3535191","ERS842340","2016-02-12","2016-02-12","ESC_CA6534AA",NA,260,"","ABD",NA,2,79,59,2,2,2,2
"ESC_CA6535AA","HNCMB 20001","ERR1013765;ILLUMINA;Paired;138;ERX1092789;SRA","Human","Human","Human",1935,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"F.X.Weill, Institut Pasteur","Shigella dysenteriae","","Sd1",NA,"","","","Lineage II","PRJEB10304","ERP011535","","SAMEA3535190","ERS842339","2016-02-12","2016-02-12","ESC_CA6535AA",NA,260,"","ABD",NA,2,79,59,2,2,2,2
"ESC_EA2624AA","MOD1-EC6408","SRR3987945;ILLUMINA;Paired;300;SRX1989277;SRA","Wild Animal","Other Mammal","veterinary clinical/research| other animal; rabbit; caecum domestic rabbit",1988,10,3,NA,"Europe","Hungary","","","",NA,NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","O15",NA,"","","","","PRJNA230969","SRP058582","","SAMN04993024","SRS1593020","2016-07-31","2015-01-01","ESC_EA2624AA",NA,335,"ST11 Cplx","",NA,29,12,8,12,15,2,2
"ESC_FA5579AA","DTU2016_474_PRJ1050_Eschericha_coli_M2014_10044842","ERR1759108;ILLUMINA;Paired;250;ERX1825622;SRA","","","",2014,NA,NA,NA,"Europe","Hungary","","","",NA,47.1625,19.5033,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB18618","ERP020561","","SAMEA26791168","ERS1473836","2016-12-16","2016-12-15","ESC_FA5579AA",NA,1564,"","A",NA,10,252,5,8,7,8,2
"ESC_FA5580AA","DTU2016_473_PRJ1050_Eschericha_coli_M2014_10008815","ERR1759107;ILLUMINA;Paired;240;ERX1825621;SRA","","","",2014,NA,NA,NA,"Europe","Hungary","","","",NA,47.1625,19.5033,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB18618","ERP020561","","SAMEA26790418","ERS1473835","2016-12-16","2016-12-15","ESC_FA5580AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_FA7870AA","4303","SRR5192198;ION_TORRENT;Single;;SRX2507912;SRA,GCF_002073875;Chromosome;;;;Chromosome,GCA_002073875;Chromosome;;;;Chromosome","","","",1954,NA,NA,NA,"Europe","Hungary","","Baranya","Pécs",NA,46.0727,18.2323,"University of Pecs","Shigella sonnei","","",NA,"","","","","PRJNA361576","SRP097349","","SAMN06235000","SRS1932143","2017-01-29","2017-01-25","ESC_FA7870AA",NA,8741,"ST152 Cplx","B1",NA,11,63,7,988,14,7,7
"ESC_GA7527AA","M2015-10055788-ESBL","ERR2019182;ILLUMINA;Paired;639;ERX2078434;SRA","Livestock","Swine","Sus scrofa domesticus; fattening pig",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.162502,19.503312,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142901","ERS1801919","2017-06-30","2017-06-29","ESC_GA7527AA",NA,90,"ST23 Cplx","AxB1",NA,6,4,12,1,20,8,7
"ESC_GA7528AA","M2015-10055114/1","ERR2019181;ILLUMINA;Paired;500;ERX2078433;SRA","Livestock","Bovine","Bos taurus; fresh meat",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.162501,19.503311,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142900","ERS1801918","2017-06-30","2017-06-29","ESC_GA7528AA",NA,2179,"","AxB1",NA,9,65,5,18,11,8,6
"ESC_GA7529AA","M2015-10055054-ESBL","ERR2019180;ILLUMINA;Paired;676;ERX2078432;SRA","Livestock","Swine","Sus scrofa domesticus; fattening pig",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.1625,19.50331,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142899","ERS1801917","2017-06-30","2017-06-29","ESC_GA7529AA",NA,156,"ST156 Cplx","AxB1",NA,6,29,32,16,11,8,44
"ESC_GA7530AA","M2015-10049075-ESBL","ERR2019179;ILLUMINA;Paired;648;ERX2078431;SRA","Livestock","Swine","Sus scrofa domesticus; fattening pig",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.162499,19.503309,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142898","ERS1801916","2017-06-30","2017-06-29","ESC_GA7530AA",NA,57,"ST350 Cplx","AxB1",NA,6,31,5,28,1,1,2
"ESC_GA7531AA","M2015-10047953/2","ERR2019178;ILLUMINA;Paired;619;ERX2078430;SRA","Livestock","Swine","Sus scrofa domesticus; fresh meat",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.162498,19.503308,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142897","ERS1801915","2017-06-30","2017-06-29","ESC_GA7531AA",NA,101,"ST101 Cplx","B1",NA,43,41,15,18,11,7,6
"ESC_GA7532AA","M2015-10042640/2","ERR2019177;ILLUMINA;Paired;549;ERX2078429;SRA","Livestock","Swine","Sus scrofa domesticus; fresh meat",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.162497,19.503307,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142896","ERS1801914","2017-06-30","2017-06-29","ESC_GA7532AA",NA,410,"ST23 Cplx","",NA,6,4,12,1,20,18,7
"ESC_GA7533AA","M2015-10039148-ESBL","ERR2019176;ILLUMINA;Paired;647;ERX2078428;SRA","Livestock","Swine","Sus scrofa domesticus; fattening pig",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.162496,19.503306,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142895","ERS1801913","2017-06-30","2017-06-29","ESC_GA7533AA",NA,88,"ST23 Cplx","B1",NA,6,4,12,1,20,12,7
"ESC_GA7534AA","M2015-10034827-ESBL","ERR2019175;ILLUMINA;Paired;644;ERX2078427;SRA","Livestock","Swine","Sus scrofa domesticus; fattening pig",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.162495,19.503305,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142894","ERS1801912","2017-06-30","2017-06-29","ESC_GA7534AA",NA,101,"ST101 Cplx","B1",NA,43,41,15,18,11,7,6
"ESC_GA7535AA","M2015-10006786-ESBL","ERR2019174;ILLUMINA;Paired;605;ERX2078426;SRA","Livestock","Swine","Sus scrofa domesticus; fattening pig",2015,NA,NA,NA,"Europe","Hungary","","","",NA,47.162494,19.503304,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli","","",NA,"","","","","PRJEB21546","ERP023807","","SAMEA104142893","ERS1801911","2017-06-30","2017-06-29","ESC_GA7535AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_HA7437AA","ABU 84","SRR6224579;ILLUMINA;Paired;;SRX3333216;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839399","SRS2635643","2017-10-27","2017-10-26","ESC_HA7437AA",NA,73,"ST73 Cplx","B2",NA,36,24,9,13,17,11,25
"ESC_HA7438AA","ABU 91","SRR6224580;ILLUMINA;Paired;;SRX3333215;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839400","SRS2635642","2017-10-27","2017-10-26","ESC_HA7438AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_HA7439AA","ABU 1","SRR6224581;ILLUMINA;Paired;;SRX3333214;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839395","SRS2635641","2017-10-27","2017-10-26","ESC_HA7439AA",NA,205,"ST205 Cplx","B1",NA,6,23,15,16,9,8,7
"ESC_HA7440AA","ABU 9","SRR6224582;ILLUMINA;Paired;;SRX3333213;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839396","SRS2635640","2017-10-27","2017-10-26","ESC_HA7440AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_HA7441AA","ABU 61","SRR6224583;ILLUMINA;Paired;;SRX3333212;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839397","SRS2635639","2017-10-27","2017-10-26","ESC_HA7441AA",NA,59,"ST59 Cplx","ABD",NA,27,32,24,29,26,19,22
"ESC_HA7442AA","ABU 65","SRR6224591;LS454;Single;;SRX3333204;SRA,SRR6224590;ILLUMINA;Paired;;SRX3333205;SRA,SRR6224584;ILLUMINA;Paired;;SRX3333211;SRA,SRR6224588;LS454;Single;;SRX3333207;SRA,SRR6224589;LS454;Single;;SRX3333206;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839398","SRS2635635","2017-10-27","2017-10-26","ESC_HA7442AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_HA7443AA","ABU 106","SRR6224585;ILLUMINA;Paired;;SRX3333210;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839401","SRS2635638","2017-10-27","2017-10-26","ESC_HA7443AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_HA7444AA","ABU 123","SRR6224586;ILLUMINA;Paired;;SRX3333209;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839402","SRS2635637","2017-10-27","2017-10-26","ESC_HA7444AA",NA,69,"ST69 Cplx","D",NA,21,35,27,6,5,5,4
"ESC_HA7445AA","ABU 148","SRR6224587;ILLUMINA;Paired;;SRX3333208;SRA","Human","Human","Homo sapiens; urinary tract of patient suffering from type-2 diabetes",2010,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"University of Muenster","Escherichia coli","","",NA,"","","","","PRJNA415978","SRP121701","","SAMN07839403","SRS2635636","2017-10-27","2017-10-26","ESC_HA7445AA",NA,73,"ST73 Cplx","B2",NA,36,24,9,13,17,11,25
"ESC_JA6054AA","FKI-5328","traces-0YmbwqF;ILLUMINA;Paired;;NA;Uploaded","Wild Animal","Swine","",2016,11,26,NA,"Europe","Hungary","","","",NA,NA,NA,"Agricultural Biotechnology Institute ","Escherichia coli","","",NA,"","","","","","","","","","2018-07-10","2019-07-17","ESC_JA6054AA",NA,58,"ST155 Cplx","AxB1",NA,6,4,4,16,24,8,14
"ESC_KA4645AA","PSU-1444","SRR8112804;ILLUMINA;Paired;500;SRX4939185;SRA","Wild Animal","Rabbit/Hare","other animal; Rabbit, Dom (Lampine)",1988,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","",NA,"","","","","PRJNA357722","SRP101500","","SAMN10315761","SRS3983066","2018-10-26","2018-10-25","ESC_KA4645AA",NA,20,"ST20 Cplx","B1",NA,6,4,3,18,7,7,6
"ESC_KA4647AA","PSU-1447","SRR8112801;ILLUMINA;Paired;500;SRX4939182;SRA","Wild Animal","Rabbit/Hare","other animal; Rabbit, Dom (Lampine)",1988,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","",NA,"","","","","PRJNA357722","SRP101500","","SAMN10315796","SRS3983060","2018-10-26","2018-10-25","ESC_KA4647AA",NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2
"ESC_KA4649AA","PSU-1446","SRR8112798;ILLUMINA;Paired;500;SRX4939179;SRA","Wild Animal","Rabbit/Hare","other animal; Rabbit, Dom (Lampine)",1988,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","",NA,"","","","","PRJNA357722","SRP101500","","SAMN10315797","SRS3983059","2018-10-26","2018-10-25","ESC_KA4649AA",NA,20,"ST20 Cplx","B1",NA,6,4,3,18,7,7,6
"ESC_KA4650AA","PSU-1445","SRR8112796;ILLUMINA;Paired;500;SRX4939177;SRA","Wild Animal","Rabbit/Hare","other animal; Rabbit, Dom (Lampine)",1988,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"FDA Center for Food Safety and Applied Nutrition","Escherichia coli","","",NA,"","","","","PRJNA357722","SRP101500","","SAMN10315752","SRS3983058","2018-10-26","2018-10-25","ESC_KA4650AA",NA,328,"ST278 Cplx","",NA,9,23,81,18,11,8,6
"ESC_KA7321AA","75/02","GCF_002150905;Complete Genome;;;;Complete Genome","Human","Human","Homo sapiens; feces",2002,NA,NA,NA,"Europe","Hungary","","Veszprem","Halimba",NA,47.0335,17.5364,"Seqomics Ltd.","Shigella sonnei","","",NA,"","S. sonnei","","","PRJNA224116","","","SAMN06286561","","2018-12-04","2017-05-19","ESC_KA7321AA",NA,8724,"ST152 Cplx","B1",NA,11,63,739,1,14,7,7
"ESC_KA7333AA","BLK16","GCF_002078295;Complete Genome;;;;Complete Genome","Laboratory","Laboratory","Engineered variant of Escherichia coli BL21(DE3)",2012,NA,NA,NA,"Europe","Hungary","Csongrád","Szegedi","Szeged",NA,NA,NA,"Seqomics Ltd.","Escherichia coli","","",NA,"","","","","PRJNA224116","","","SAMN04505873","","2018-12-04","2017-04-04","ESC_KA7333AA",NA,93,"ST168 Cplx","A",NA,6,11,4,10,7,8,6
"ESC_KA7334AA","BLK9","GCF_002078275;Complete Genome;;;;Complete Genome","Laboratory","Laboratory","engineered variant of Escherichia coli BL21(DE3)",2012,NA,NA,NA,"Europe","Hungary","Csongrád","Szegedi","Szeged",NA,NA,NA,"Seqomics Ltd.","Escherichia coli","","",NA,"","","","","PRJNA224116","","","SAMN04497926","","2018-12-04","2017-04-04","ESC_KA7334AA",NA,93,"ST168 Cplx","A",NA,6,11,4,10,7,8,6
"ESC_LA7150AA","2185","SRR5927232;ILLUMINA;Paired;;SRX3087561;SRA","Livestock","Swine","Sus scrofa",NA,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"USDA","Escherichia coli","","O141",NA,"","","","","PRJNA383591","SRP115261","","SAMN07488837","SRS2425347","2019-02-11","2017-09-30","ESC_LA7150AA",NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2
"ESC_MA2681AA","30299","traces-0CAuHUl;ILLUMINA;Paired;;NA;Uploaded","","","",NA,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"National Public Health Center","","","",NA,"","","","","","","","","","2019-04-04","2019-04-04","ESC_MA2681AA",NA,9213,"ST131 Cplx","B2",NA,909,40,47,13,36,28,29
"ESC_NA9017AA","21191","traces-0kkHTRh;ILLUMINA;Paired;;NA;Uploaded","Poultry","Poultry","caecum",2018,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"A. Szmolka (Institute for Veterinary Medical Research)","Escherichia coli","O8","",NA,"Non Pathogen","","","","","","","","","2019-08-29","2020-03-02","ESC_NA9017AA",NA,8702,"ST10 Cplx","A",NA,842,11,4,8,12,8,2
"ESC_NA9023AA","1437","traces-0KzzhLM;ILLUMINA;Paired;;NA;Uploaded","Poultry","Poultry","caecum",2018,NA,NA,NA,"Europe","Hungary","","","",NA,NA,NA,"A. Szmolka (Institute for Veterinary Medical Research)","Escherichia coli","O51","",NA,"Non Pathogen","","","","","","","","","2019-08-29","2020-03-02","ESC_NA9023AA",NA,10088,"","A",NA,64,4,5,83,880,8,6
