"Uberstrain","Name","Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.","Source.Niche","Source.Type","Source.Details","Collection.Year","Collection.Month","Collection.Day","Collection.Time","Continent","Country","Region","District","City","Post.Code","Latitude","Longitude","Lab.Contact","Species","Serological.Group","Serotype","EcoR.Cluster","Path.Nonpath","Simple.Patho","Simple.Disease","Comment","Bio.Project.ID","Project.ID","Disease","Sample.ID","Secondary.Sample.ID","Date.Entered","Release.Date","Barcode","Differences","ST","ST.Complex","Lineage","Subspecies","adk","fumC","gyrB","icd","mdh","purA","recA"
"ESC_CB2599AA","DTU_2020_1000006_1_SI_HRV_ZAG_007","ERR10441554;ILLUMINA;Paired;;ERX9967082;SRA","Human","Human","Homo Sapiens; urine",2020,2,21,NA,"Europe","Croatia","","","",NA,NA,NA,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB56918","ERP141886","","SAMEA111504003","ERS13616365","2022-11-01","2022-11-01","ESC_CB2599AA",NA,959,"ST12 Cplx","",NA,13,13,9,13,16,10,119
"ESC_CB2600AA","DTU_2020_1000033_1_SI_HRV_ZAG_034","ERR10441553;ILLUMINA;Paired;;ERX9967081;SRA","Human","Human","Homo Sapiens; swab (wound)",2020,2,23,NA,"Europe","Croatia","","","",NA,NA,NA,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB56918","ERP141886","","SAMEA111504006","ERS13616368","2022-11-01","2022-11-01","ESC_CB2600AA",NA,354,"ST354 Cplx","",NA,85,88,78,29,59,58,62
"ESC_CB2601AA","DTU_2020_1000026_1_SI_HRV_ZAG_027","ERR10441552;ILLUMINA;Paired;;ERX9967080;SRA","Human","Human","Homo Sapiens; aspirate",2020,2,24,NA,"Europe","Croatia","","","",NA,NA,NA,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB56918","ERP141886","","SAMEA111504008","ERS13616370","2022-11-01","2022-11-01","ESC_CB2601AA",NA,10,"ST10 Cplx","A",NA,10,11,4,8,8,8,2
"ESC_CB2602AA","DTU_2020_1000007_1_SI_HRV_ZAG_008","ERR10441551;ILLUMINA;Paired;;ERX9967079;SRA","Human","Human","Homo Sapiens; urine",2020,2,21,NA,"Europe","Croatia","","","",NA,NA,NA,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB56918","ERP141886","","SAMEA111504004","ERS13616366","2022-11-01","2022-11-01","ESC_CB2602AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_CB2603AA","DTU_2020_1000020_1_SI_HRV_ZAG_021","ERR10441547;ILLUMINA;Paired;;ERX9967075;SRA","Human","Human","Homo Sapiens; swab (wound)",2020,2,21,NA,"Europe","Croatia","","","",NA,NA,NA,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB56918","ERP141886","","SAMEA111504005","ERS13616367","2022-11-01","2022-11-01","ESC_CB2603AA",NA,1858,"ST14 Cplx","",NA,13,14,10,14,17,11,85
"ESC_CB2604AA","DTU_2020_1000035_1_SI_HRV_ZAG_036","ERR10441546;ILLUMINA;Paired;;ERX9967074;SRA","Human","Human","Homo Sapiens; blood",2020,2,23,NA,"Europe","Croatia","","","",NA,NA,NA,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB56918","ERP141886","","SAMEA111504007","ERS13616369","2022-11-01","2022-11-01","ESC_CB2604AA",NA,38,"ST38 Cplx","D",NA,4,26,2,25,5,5,19
"ESC_CB2605AA","DTU_2020_1000005_1_SI_HRV_ZAG_006","ERR10441535;ILLUMINA;Paired;;ERX9967063;SRA","Human","Human","Homo Sapiens; urine",2020,2,21,NA,"Europe","Croatia","","","",NA,NA,NA,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB56918","ERP141886","","SAMEA111504002","ERS13616364","2022-11-01","2022-11-01","ESC_CB2605AA",NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29
"ESC_GA7576AA","HRECC+14S/15","ERR2019124;ILLUMINA;Paired;606;ERX2078376;SRA","Livestock","Swine","Sus scrofa domesticus; Fattening pig",2015,NA,NA,NA,"Europe","Croatia","","","",NA,45.100002,15.200002,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB21546","ERP023807","","SAMEA104142843","ERS1801861","2017-06-30","2017-06-29","ESC_GA7576AA",NA,75,"","AxB1",NA,6,6,5,10,20,23,6
"ESC_GA7577AA","HRECC+10S/15","ERR2019123;ILLUMINA;Paired;649;ERX2078375;SRA","Livestock","Swine","Sus scrofa domesticus; Fattening pig",2015,NA,NA,NA,"Europe","Croatia","","","",NA,45.100001,15.200001,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB21546","ERP023807","","SAMEA104142842","ERS1801860","2017-06-30","2017-06-29","ESC_GA7577AA",NA,75,"","AxB1",NA,6,6,5,10,20,23,6
"ESC_TA9698AA","69314-214","ERR3393095;ILLUMINA;Paired;300;ERX3416959;SRA","Livestock","Bovine","Bos taurus; meat",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732126","ERS3535429","2021-01-22","2021-01-20","ESC_TA9698AA",NA,457,"","",NA,101,88,97,108,26,79,2
"ESC_TA9699AA","42246-214","ERR3393094;ILLUMINA;Paired;300;ERX3416958;SRA","Livestock","Bovine","Bos taurus; caecal sample",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732125","ERS3535428","2021-01-22","2021-01-20","ESC_TA9699AA",NA,1431,"","AxB1",NA,6,65,3,1,11,13,6
"ESC_TA9700AA","35296-214","ERR3393093;ILLUMINA;Paired;300;ERX3416957;SRA","Livestock","Bovine","Bos taurus; caecal sample",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732124","ERS3535427","2021-01-22","2021-01-20","ESC_TA9700AA",NA,2325,"ST467 Cplx","A",NA,8,7,4,8,8,18,6
"ESC_TA9701AA","30355-214","ERR3393092;ILLUMINA;Paired;300;ERX3416956;SRA","Livestock","Swine","Sus scrofa domesticus; caecal sample",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732123","ERS3535426","2021-01-22","2021-01-20","ESC_TA9701AA",NA,1196,"","AxB1",NA,6,6,33,26,11,8,2
"ESC_TA9702AA","29258-214","ERR3393091;ILLUMINA;Paired;300;ERX3416955;SRA","Livestock","Swine","Sus scrofa domesticus; caecal sample",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732122","ERS3535425","2021-01-22","2021-01-20","ESC_TA9702AA",NA,23,"ST23 Cplx","B1",NA,6,4,12,1,20,13,7
"ESC_TA9703AA","134699-214","ERR3393090;ILLUMINA;Paired;300;ERX3416954;SRA","Livestock","Bovine","Bos taurus; caecal sample",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732121","ERS3535424","2021-01-22","2021-01-20","ESC_TA9703AA",NA,11853,"ST10 Cplx","A",NA,1082,11,4,1194,8,8,2
"ESC_TA9704AA","130190-214","ERR3393089;ILLUMINA;Paired;300;ERX3416953;SRA","Livestock","Swine","Sus scrofa domesticus; caecal sample",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732120","ERS3535423","2021-01-22","2021-01-20","ESC_TA9704AA",NA,156,"ST156 Cplx","AxB1",NA,6,29,32,16,11,8,44
"ESC_TA9705AA","111275-214","ERR3393088;ILLUMINA;Paired;300;ERX3416952;SRA","Livestock","Swine","Sus scrofa domesticus; meat",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732119","ERS3535422","2021-01-22","2021-01-20","ESC_TA9705AA",NA,75,"","AxB1",NA,6,6,5,10,20,23,6
"ESC_TA9706AA","106622-214","ERR3393087;ILLUMINA;Paired;300;ERX3416951;SRA","Livestock","Swine","Sus scrofa domesticus; caecal sample",2017,NA,NA,NA,"Europe","Croatia","","","",NA,45.099998,15.2,"Centre for Genomic Epidemiology, National Food Institute, Technical University of Denmark (DTU), Denmark","Escherichia coli",NA,"",NA,"",NA,"",NA,"PRJEB33169","ERP115939","","SAMEA5732118","ERS3535421","2021-01-22","2021-01-20","ESC_TA9706AA",NA,156,"ST156 Cplx","AxB1",NA,6,29,32,16,11,8,44
"ESC_KA1936AA","LL_5","traces-0DGYSMb;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-23","2019-03-28","ESC_KA1936AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
"ESC_KA1937AA","LL_32","traces-0KRuZwn;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-23","2019-03-28","ESC_KA1937AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_KA1938AA","LL_33","traces-0MvJVzL;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-23","2019-03-28","ESC_KA1938AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_KA1939AA","LL_36","traces-0edubSl;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-23","2019-03-28","ESC_KA1939AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
"ESC_KA1940AA","LL_39","traces-0rRbyMQ;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1940AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA1941AA","LL_41","traces-0zhNPbJ;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1941AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_KA1942AA","LL_43","traces-0ZuUgHp;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1942AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
"ESC_KA1943AA","LL_44","traces-0SJpoUF;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1943AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
"ESC_KA1944AA","LL_46","traces-0bEnvke;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1944AA",NA,297,"","AxB1",NA,6,65,32,26,9,8,2
"ESC_KA1945AA","LL_455","traces-0DOXZOs;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1945AA",NA,428,"","B2",NA,96,40,13,100,23,28,66
"ESC_KA1946AA","LL_346","traces-0qBymOw;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1946AA",NA,58,"ST155 Cplx","AxB1",NA,6,4,4,16,24,8,14
"ESC_KA1947AA","LL_347","traces-0LDduWD;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1947AA",NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29
"ESC_KA1948AA","LL_459","traces-0wORHZi;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1948AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA1949AA","LL_509","traces-0qpKhqS;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1949AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA1950AA","LL_1","traces-0LtaqnW;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1950AA",NA,117,"","ABD",NA,20,45,41,43,5,32,2
"ESC_KA1951AA","LL_38","traces-0WPJWup;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1951AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA1953AA","LL_325","traces-0lvDOLW;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1953AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA1954AA","LL_324","traces-0fiTaBu;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1954AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA1955AA","LL_327","traces-0Cuudcf;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1955AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA1956AA","LL_463","traces-0FxBBcS;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2018,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA1956AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA2119AA","LL_333","traces-0zaQblB;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA2119AA",NA,131,"ST131 Cplx","B2",NA,53,40,47,13,36,28,29
"ESC_KA2120AA","LL_344","traces-0zCGvap;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-24","2019-03-29","ESC_KA2120AA",NA,93,"ST168 Cplx","A",NA,6,11,4,10,7,8,6
"ESC_KA2123AA","LL_342","traces-0MrCuSc;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-25","2019-03-30","ESC_KA2123AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_KA2124AA","LL_328","traces-0zibbMY;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","Broiler breeder",2017,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"miki@sund.ku.dk","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2018-09-25","2019-03-30","ESC_KA2124AA",NA,95,"ST95 Cplx","B2",NA,37,38,19,37,17,11,26
"ESC_SA7890AA","E.coli_34","traces-0LpPblz;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2015,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7890AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
"ESC_SA7891AA","E.coli_83","traces-0RRATeC;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7891AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
"ESC_SA7892AA","E.coli_85","traces-0hPPpLO;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7892AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
"ESC_SA7893AA","E.coli_87","traces-0mdgZVA;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7893AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
"ESC_SA7894AA","E.coli_88","traces-0ClrrXN;ILLUMINA;Paired;;NA;Uploaded","Poultry","Avian","",2016,NA,NA,NA,"Europe","Croatia","","","",NA,NA,NA,"Department of Poultry Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb","Escherichia coli",NA,"",NA,"",NA,"",NA,"","","","","","2020-10-15","2020-10-15","ESC_SA7894AA",NA,390,"ST95 Cplx","",NA,37,38,86,37,17,11,26
